sim_step,Δ,δ,c,per_infected,βd,βₑ,βᵢ,γₑ,γₐ,avg_he_size,avg_degree,avg_direct_contacts,new_users,moved_users,perc_infected_users,perc_infected_locations
65,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09432283324434952,0.9833024118738405,106.0,3,110,0.08905380333951762,0.003025449368214985
66,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09645844456308952,1.0055658627087198,71.0,2,131,0.08905380333951762,0.003381384588004983
67,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09325502758497953,0.9721706864564007,Inf,0,114,0.08905380333951762,0.003381384588004983
68,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0804413596725396,0.8385899814471243,Inf,0,26,0.08534322820037106,0.003559352197899982
69,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07688200747463962,0.8014842300556586,Inf,0,8,0.08534322820037106,0.003203416978109984
70,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0784837159636946,0.8181818181818182,Inf,0,16,0.07977736549165121,0.003203416978109984
71,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08560242035949457,0.8923933209647495,Inf,0,60,0.08348794063079777,0.003203416978109984
72,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08667022601886457,0.9035250463821892,Inf,0,62,0.08348794063079777,0.003381384588004983
73,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09165331909592454,0.9554730983302412,71.33333333333333,2,98,0.09276437847866419,0.0028474817583199856
74,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08222103577148959,0.8571428571428571,107.0,0,37,0.08719851576994433,0.0024915465385299874
75,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07670403986474461,0.7996289424860853,214.5,1,2,0.08719851576994433,0.0023135789286349885
76,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0804413596725396,0.8385899814471243,214.5,0,28,0.08348794063079777,0.0024915465385299874
77,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08595835557928456,0.8961038961038961,214.5,0,59,0.07606679035250463,0.0026695141484249867
78,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09040754582665955,0.9424860853432282,71.66666666666667,1,85,0.07606679035250463,0.0024915465385299874
79,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09645844456308952,1.0055658627087198,108.25,3,119,0.07050092764378478,0.0028474817583199856
80,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08328884143085959,0.8682745825602969,108.5,1,36,0.07050092764378478,0.0024915465385299874
81,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07794981313400962,0.8126159554730983,108.5,0,5,0.07421150278293136,0.0024915465385299874
82,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0809752625022246,0.8441558441558441,108.5,0,22,0.07235621521335807,0.001601708489054992
83,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08827193450791956,0.9202226345083488,218.0,2,63,0.07235621521335807,0.0019576437088449903
84,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09272112475529454,0.9666048237476809,109.75,3,94,0.07050092764378478,0.002135611318739989
85,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10250934329951948,1.0686456400742115,31.5,2,147,0.07050092764378478,0.002135611318739989
86,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08809396689802455,0.9183673469387755,27.5625,0,59,0.07235621521335807,0.002135611318739989
87,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.07901761879337961,0.8237476808905381,36.75,0,3,0.07235621521335807,0.001601708489054992
88,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08222103577148959,0.8571428571428571,44.2,1,27,0.07050092764378478,0.0014237408791599928
89,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09040754582665955,0.9424860853432282,37.0,2,72,0.06679035250463822,0.001779676098949991
90,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09734828261256451,1.0148423005565863,223.0,2,106,0.06307977736549165,0.0023135789286349885
91,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10446698700836447,1.0890538033395176,56.5,6,140,0.061224489795918366,0.0024915465385299874
92,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08738209645844457,0.9109461966604824,45.2,0,42,0.061224489795918366,0.002135611318739989
93,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0811532301121196,0.8460111317254174,56.5,0,4,0.059369202226345084,0.0023135789286349885
94,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08489054991991457,0.8849721706864564,45.4,2,28,0.059369202226345084,0.0023135789286349885
95,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09521267129382452,0.9925788497217068,32.57142857142857,2,81,0.061224489795918366,0.0023135789286349885
96,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09717031500266951,1.0129870129870129,38.166666666666664,2,94,0.061224489795918366,0.0023135789286349885
97,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.11122975618437445,1.1595547309833023,32.785714285714285,1,171,0.061224489795918366,0.0026695141484249867
98,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0994838939313045,1.0371057513914657,114.75,0,107,0.06307977736549165,0.0024915465385299874
99,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08239900338138459,0.8589981447124304,114.75,0,4,0.06307977736549165,0.002135611318739989
100,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08631429079907457,0.8998144712430427,114.75,0,27,0.06307977736549165,0.0023135789286349885
101,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09592454173340452,1.0,76.5,0,86,0.07421150278293136,0.0019576437088449903
102,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10375511656878449,1.0816326530612246,77.0,3,128,0.07421150278293136,0.001601708489054992
103,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10215340807972949,1.0649350649350648,58.0,2,115,0.07421150278293136,0.002135611318739989
104,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09610250934329952,1.0018552875695732,46.4,0,79,0.07421150278293136,0.002135611318739989
105,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08364477665064958,0.8719851576994434,58.0,0,7,0.07606679035250463,0.002135611318739989
106,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08595835557928456,0.8961038961038961,58.0,0,19,0.07421150278293136,0.0019576437088449903
107,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09628047695319451,1.0037105751391466,58.25,2,79,0.07421150278293136,0.0019576437088449903
108,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.0982381206620395,1.0241187384044528,58.375,1,90,0.07792207792207792,0.0023135789286349885
109,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.10286527851930949,1.072356215213358,46.7,0,116,0.07421150278293136,0.0026695141484249867
110,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09343299519487454,0.974025974025974,77.83333333333333,0,62,0.07050092764378478,0.0019576437088449903
111,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08400071187043957,0.87569573283859,233.5,0,5,0.0686456400742115,0.001779676098949991
112,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08542445274959957,0.8905380333951762,116.75,0,14,0.0686456400742115,0.001779676098949991
113,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.1005516995906745,1.0482374768089053,77.83333333333333,0,104,0.0686456400742115,0.0019576437088449903
114,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09859405588182951,1.0278293135435992,116.75,0,97,0.06679035250463822,0.001601708489054992
115,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09752625022245952,1.0166975881261595,235.0,3,86,0.06679035250463822,0.001601708489054992
116,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08809396689802455,0.9183673469387755,78.33333333333333,0,28,0.06493506493506493,0.001601708489054992
117,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08489054991991457,0.8849721706864564,78.33333333333333,0,8,0.06679035250463822,0.0014237408791599928
118,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.08862786972770956,0.9239332096474954,78.33333333333333,0,29,0.06493506493506493,0.0012457732692649937
119,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09681437978287952,1.0092764378478665,117.75,1,73,0.0686456400742115,0.0014237408791599928
120,4,60000 milliseconds,5,20,0.8,0.26,0.2,0.1,0.06,0.09663641217298452,1.007421150278293,118.0,1,76,0.06679035250463822,0.001601708489054992
